Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2601.331	-2811.008	209.6774	0.9753206	0.0908261	0.660016	0.339984	4.05284
6	-2590.59	-2799.534	208.9435	1.031344	0.09378657	0.660016	0.339984	4.429755
12	-2595.556	-2804.627	209.0715	1.033563	0.08817466	0.625336	0.374664	4.370228
18	-2582.711	-2790.561	207.85	0.9669343	0.0960255	0.614253	0.385747	5.071486
24	-2579.325	-2788.066	208.7412	1.146639	0.08234023	0.666964	0.333036	4.507485
30	-2592.406	-2800.337	207.9311	1.146639	0.06944972	0.718645	0.281355	4.993962
36	-2593.407	-2801.863	208.456	0.9533424	0.1098722	0.533412	0.466588	4.709217
42	-2581.409	-2789.985	208.5757	1.089098	0.09564064	0.533412	0.466588	4.599543
48	-2583.401	-2794.018	210.6165	1.121346	0.1580711	0.677208	0.322792	3.273355
54	-2582.215	-2792.155	209.9406	1.295231	0.0777615	0.577842	0.422158	3.752308
60	-2594.37	-2805.282	210.9119	1.389388	0.06845781	0.494756	0.505244	3.154889
66	-2601.288	-2809.833	208.5449	1.194382	0.05358517	0.563291	0.436709	4.668483
72	-2573.463	-2781.023	207.5599	0.9490775	0.0993227	0.587524	0.412476	5.234204
78	-2573.395	-2783.102	209.7071	1.170124	0.08994238	0.511664	0.488336	3.926712
84	-2579.919	-2788.57	208.6512	0.983328	0.08131621	0.456909	0.543091	4.652264
90	-2583.992	-2793.876	209.8835	1.247123	0.08131621	0.456909	0.543091	3.803519
96	-2582.457	-2794.227	211.7702	1.502299	0.08211341	0.565887	0.434113	2.526147
102	-2579.457	-2787.736	208.2792	1.166376	0.07685592	0.534787	0.465213	4.769492
108	-2580.914	-2789.528	208.6136	1.160503	0.08078492	0.559003	0.440997	4.575349
114	-2574.638	-2783.856	209.2174	1.313999	0.08078492	0.634725	0.365275	4.147659
120	-2577.758	-2785.669	207.9116	1.050251	0.09177372	0.586088	0.413912	5.00132
126	-2583.88	-2791.373	207.4923	0.9323118	0.09340316	0.592605	0.407395	5.294916
132	-2589.214	-2796.065	206.8505	0.8222245	0.0972775	0.592605	0.407395	5.699249
138	-2597.665	-2807.102	209.4364	1.191154	0.08123859	0.553509	0.446491	4.091726
144	-2594.143	-2803.664	209.5213	0.9698826	0.1129704	0.553509	0.446491	4.091726
150	-2577.088	-2785.489	208.4011	1.147283	0.08544024	0.578217	0.421783	4.69001
156	-2578.545	-2787.315	208.7704	1.019887	0.1065454	0.565927	0.434073	4.50322
162	-2575.668	-2785.222	209.5543	1.079957	0.08723823	0.672399	0.327601	4.07246
168	-2577.19	-2787.162	209.9726	1.135944	0.05777998	0.53756	0.46244	3.881001
174	-2575.678	-2785.686	210.008	1.145544	0.05976457	0.595452	0.404548	3.849502
180	-2574.65	-2782.198	207.5472	1.002381	0.06150382	0.595452	0.404548	5.307815
186	-2580.702	-2787.026	206.3246	0.8515728	0.06069467	0.595452	0.404548	6.063007
192	-2566.822	-2773.16	206.3375	0.9234142	0.04373652	0.595452	0.404548	6.063007
